target_prediction,model_name,fold,rmse,mae,r2,selected_features_count,selected_features_k_param,param_C,param_alpha,param_gamma,param_k,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,top_5_coefficients_Ridge,top_5_coefficients_SVR_linear,top_5_importances_GradientBoostingRegressor,top_5_importances_RandomForestRegressor
Predict_ASX_Target_NextDay_LogReturn,Ridge,1,0.014707555986580682,0.010602924978480725,-0.035489309122828994,50,50,,100.0,,50,,,,,,"{'audusd_Open': -0.001067140684359295, 'asx_PSARr_0.02_0.2': -0.0009428392126762165, 'asx_Close_MACDh_8_21_9': -0.0007549883414312393, 'audusd_HLC_STOCHk_20_5_5': 0.0007472453194072282, 'audusd_TSIs_13_25_13': -0.0006642077514620549}",,,
Predict_ASX_Target_NextDay_LogReturn,Ridge,2,0.008712628040552697,0.006552357545457359,-0.10477054904295624,50,50,,100.0,,50,,,,,,"{'audusd_Open': -0.002485933434531769, 'audusd_Close_ROC_5': 0.001799931645958036, 'audusd_HLC_WILLR_14': 0.0012417358178839078, 'audusd_Close_RSI_7': 0.0007759003906799896, 'audusd_Close_CMO_14': -0.0007719931967504576}",,,
Predict_ASX_Target_NextDay_LogReturn,Ridge,3,0.008465278673252568,0.006332863356124093,-0.009540010808074095,150,150,,100.0,,150,,,,,,"{'asx_ICS_26': 0.004076017274441679, 'audusd_Open': -0.0020740949772732865, 'audusd_STOCHd_14_3_3': -0.0017847556853462022, 'audusd_HLC_WILLR_14': 0.0017545430420991557, 'audusd_Close_ROC_5': 0.0017091072719432367}",,,
Predict_ASX_Target_NextDay_LogReturn,Ridge,4,0.012012034432204806,0.007683406119378851,-0.01040683300455747,50,50,,100.0,,50,,,,,,"{'audusd_STOCHd_14_3_3': -0.00193083692626954, 'audusd_HLC_WILLR_14': 0.0017792172444051969, 'audusd_Close_ROC_5': 0.0014877069599004064, 'audusd_HLC_CCI_10': -0.000899615096990042, 'asx_Close_ROC_5': -0.0007606073954605116}",,,
Predict_ASX_Target_NextDay_LogReturn,Ridge,5,0.008434812804299871,0.006275631895918085,-0.03328161256899187,100,100,,100.0,,100,,,,,,"{'asx_ICS_26': 0.00493234308838699, 'audusd_HLC_CCI_20': -0.001951872767982025, 'audusd_BBP_20_2.0': 0.001544683495673655, 'audusd_Close_ROC_5': 0.0013682965987259525, 'asx_Close_ROC_5': -0.0012661253991153316}",,,
Predict_ASX_Target_NextDay_LogReturn,SVR_linear,1,0.018572886276983024,0.015031469619625471,-0.6512901788070544,50,50,0.1,,,50,,,,,,,"{'asx_High': 0.0, 'asx_Low': 0.0, 'asx_Open': 0.0, 'asx_Close_EMA_5': 0.0, 'asx_Close_WMA_5': 0.0}",,
Predict_ASX_Target_NextDay_LogReturn,SVR_linear,2,0.01790051861200287,0.016216987655743476,-3.6634246957656558,50,50,0.1,,,50,,,,,,,"{'asx_Close_SMA_120': 0.0, 'asx_Close_SMA_150': 0.0, 'asx_Close_EMA_150': 0.0, 'asx_Close_SMA_200': 0.0, 'asx_Close_EMA_200': 0.0}",,
Predict_ASX_Target_NextDay_LogReturn,SVR_linear,3,0.017596731955806248,0.015961187000757344,-3.3621947853607184,50,50,0.1,,,50,,,,,,,"{'asx_High': 0.0, 'asx_Low': 0.0, 'asx_Open': 0.0, 'asx_Close_SMA_5': 0.0, 'asx_Close_EMA_5': 0.0}",,
Predict_ASX_Target_NextDay_LogReturn,SVR_linear,4,0.019630080613824537,0.01718828026923376,-1.6984060623020474,50,50,0.1,,,50,,,,,,,"{'asx_High': 0.0, 'asx_Low': 0.0, 'asx_Open': 0.0, 'asx_Close_SMA_5': 0.0, 'asx_Close_EMA_5': 0.0}",,
Predict_ASX_Target_NextDay_LogReturn,SVR_linear,5,0.019076267785174277,0.017547770261409846,-4.285117223356255,50,50,0.1,,,50,,,,,,,"{'asx_Low': 0.0, 'asx_Close_EMA_5': 0.0, 'asx_Close_HMA_5': 0.0, 'asx_Close_SMA_15': 0.0, 'asx_Close_EMA_15': 0.0}",,
