target_prediction,model_name,avg_rmse,std_rmse,avg_mae,std_mae,avg_r2,std_r2,best_param_C,best_param_alpha,best_param_gamma,best_param_k,best_param_learning_rate,best_param_max_depth,best_param_min_samples_leaf,best_param_min_samples_split,best_param_n_estimators,top_10_coeffs_Ridge_agg,top_10_coeffs_SVR_linear_agg,top_10_features_GradientBoostingRegressor_agg,top_10_features_RandomForestRegressor_agg
Predict_ASX_Target_NextDay_LogReturn,Ridge,0.010466461987378124,0.0025133220671117265,0.007489436779071823,0.0016383244330684928,-0.038697662909481734,0.034801704412554896,,100.0,,50,,,,,,"{'asx_ICS_26': 0.004504180181414335, 'audusd_HLC_CCI_20': -0.001951872767982025, 'audusd_Open': -0.0018757230320547835, 'audusd_Close_ROC_5': 0.0015912606191319078, 'audusd_STOCHd_14_3_3': -0.0013312449815587265, 'audusd_HLC_WILLR_14': 0.0012529478613536034, 'asx_PSARr_0.02_0.2': -0.0009428392126762165, 'asx_Close_ROC_5': -0.0009179925070436422, 'asx_Close_ROC_20': -0.0009054324165319192, 'audusd_HLC_CCI_10': -0.0007149710274962122}",,,
Predict_ASX_Target_NextDay_LogReturn,SVR_linear,0.018555297048758194,0.0007449109261588127,0.01638913896135398,0.0008985653357992818,-2.732086589118346,1.3471852353281037,0.1,,,50,,,,,,,"{'audusd_HLC_CCI_10': 0.0, 'audusd_HLC_CCI_50': 0.0, 'audusd_HLC_STOCHd_20_5_5': 0.0, 'audusd_HLC_STOCHk_20_5_5': 0.0, 'audusd_HLC_WILLR_14': 0.0, 'audusd_High': 0.0, 'audusd_ICS_26': 0.0, 'audusd_ITS_9': 0.0, 'asx_Close_EMA_120': 0.0, 'asx_Close_EMA_15': 0.0}",,
Predict_ASX_Target_NextDay_LogReturn,SVR_rbf,0.018555297048758194,0.0007449109261588127,0.01638913896135398,0.0008985653357992818,-2.732086589118346,1.3471852353281037,1.0,,0.001,50,,,,,,,,,
Predict_ASX_Target_NextDay_LogReturn,RandomForestRegressor,0.010790121653492055,0.0029962146461115368,0.007578081197217592,0.0018990940097216124,-0.08632762794717283,0.1040218432281872,,,,100,,5.0,,10.0,100.0,,,,"{'asx_Close_MACD_8_21_9': 0.18374224290787847, 'asx_MACDh_12_26_9': 0.1685504831693235, 'audusd_Close_ROC_60': 0.10254012056854321, 'audusd_Close_ROC_5': 0.08707153154240066, 'asx_Close_ROC_20': 0.0557460692574299, 'audusd_Close_ROC_10': 0.0500238988691076, 'audusd_VTXP_14': 0.046809997492184625, 'asx_Close_ROC_5': 0.046483140062324284, 'audusd_ICS_26': 0.04222477372749074, 'asx_Close_ROC_10': 0.040327107474857696}"
Predict_ASX_Target_NextDay_LogReturn,GradientBoostingRegressor,0.011609205829117336,0.0036322569301466268,0.008627303978926243,0.0026385021250664017,-0.24972174989735726,0.2598183910595907,,,,100,0.05,3.0,1.0,4.0,150.0,,,"{'asx_MACDh_12_26_9': 0.11782572284815843, 'asx_Close_MACD_8_21_9': 0.09838122799538425, 'audusd_Close_ROC_60': 0.08564404772923483, 'audusd_VTXP_14': 0.0689848746479629, 'asx_Close_MACDh_8_21_9': 0.06571134220672858, 'audusd_ICS_26': 0.05851744956498025, 'asx_Close_ROC_5': 0.05635492015699733, 'audusd_Close_ROC_5': 0.053730066890107765, 'asx_Close_ROC_60': 0.048626404684579405, 'audusd_Close_ROC_120': 0.041276175663007966}",
Predict_AUDUSD_Target_NextDay_LogReturn,Ridge,0.007467245188121462,0.0027331598523888043,0.005404068428380958,0.0016461978350475674,0.08294916597726303,0.1060320027605217,,100.0,,100,,,,,,"{'audusd_HLC_WILLR_14': -0.00419048066894208, 'audusd_HLC_CCI_10': 0.001569846014607897, 'audusd_Close_ROC_5': -0.0009601766312100564, 'audusd_HLC_CCI_20': 0.0008692948149472252, 'asx_Close_BBB_50_2.5': 0.000697974762527751, 'asx_HLC_WILLR_28': 0.0006482703712022033, 'audusd_Close_ROC_60': -0.0006314484848011656, 'audusd_ICS_26': 0.0006152043298364182, 'audusd_High': 0.0006132267742558351, 'audusd_Close_ROC_10': -0.0006070404856094441}",,,
Predict_AUDUSD_Target_NextDay_LogReturn,SVR_linear,0.010252218125988307,0.0023387518184208715,0.008188504986510546,0.0016101283299803995,-0.8428709925315048,0.2359747959445159,0.1,,,50,,,,,,,"{'audusd_VTXP_14': 0.0, 'asx_BBB_20_2.0': 0.0, 'asx_BBP_20_2.0': 0.0, 'asx_Close_BBB_50_2.5': 0.0, 'asx_Close_BBL_50_2.5': 0.0, 'asx_Close_BBP_50_2.5': 0.0, 'audusd_Close_WMA_20': 0.0, 'audusd_Close_WMA_200': 0.0, 'audusd_Close_WMA_30': 0.0, 'audusd_Close_WMA_50': 0.0}",,
Predict_AUDUSD_Target_NextDay_LogReturn,SVR_rbf,0.010252218125988307,0.0023387518184208715,0.008188504986510546,0.0016101283299803995,-0.8428709925315048,0.2359747959445159,1.0,,0.001,50,,,,,,,,,
Predict_AUDUSD_Target_NextDay_LogReturn,RandomForestRegressor,0.008230329165683501,0.0027876894566364373,0.006031893989787712,0.0016832309068688593,-0.1341249177255616,0.1803010630541779,,,,50,,5.0,,10.0,200.0,,,,"{'audusd_Close_ROC_5': 0.24085110576301202, 'audusd_Close_ROC_60': 0.23484945940441432, 'audusd_MACD_12_26_9': 0.21411152459465974, 'asx_Close_ROC_5': 0.08776107531477878, 'audusd_ICS_26': 0.08595855053158134, 'asx_HLC_ATR_7': 0.056171899147626436, 'audusd_Close_ROC_10': 0.052754419943157826, 'asx_PPOh_12_26_9': 0.044865392035799256, 'audusd_TSIs_13_25_13': 0.0401671427996362, 'asx_HLC_ATR_14': 0.03545398799339611}"
Predict_AUDUSD_Target_NextDay_LogReturn,GradientBoostingRegressor,0.00885762452862929,0.0028639629953387752,0.00649741885372324,0.0018431927409476368,-0.36221721841781307,0.43625513996687126,,,,50,0.05,3.0,2.0,2.0,100.0,,,"{'audusd_Close_ROC_5': 0.319131616436098, 'audusd_Close_ROC_60': 0.17411572016551374, 'audusd_ICS_26': 0.12231399649802828, 'audusd_HLC_WILLR_14': 0.12182221607296709, 'audusd_Close_HMA_5': 0.09468283232410474, 'audusd_HLC_CCI_10': 0.076827228649887, 'asx_Close_ROC_5': 0.07584826188444099, 'audusd_TSIs_13_25_13': 0.06218576916698206, 'asx_PPOh_12_26_9': 0.05585809573179258, 'audusd_Close_TEMA_10': 0.05217202912748708}",
